id,author_id,quote,tags,created_at
148,13,The books that the world calls immoral are books that show the world its own shame.,"books, morality, reading,",2023-05-24 08:31:34.073945+00
149,267,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.","beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace,",2023-05-24 08:31:34.073945+00
150,48,′Classic′ - a book which people praise and don't read.,"books, classic, reading,",2023-05-24 08:31:34.073945+00
151,233,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.","attributed-no-source,",2023-05-24 08:31:34.073945+00
152,117,I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.,"dying, facts, fame, knowing, love, poverty, reality, school, teach, wealth,",2023-05-24 08:31:34.073945+00
153,1,You don’t forget the face of the person who was your last hope.,"the-hunger-games,",2023-05-24 08:31:34.073945+00
154,268,I am free of all prejudice. I hate everyone equally.,"humor, sinister,",2023-05-24 08:31:34.073945+00
155,229,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,"life, regrets,",2023-05-24 08:31:34.073945+00
156,63,"I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.","books, life, limits,",2023-05-24 08:31:34.073945+00
157,48,I have never let my schooling interfere with my education.,"attributed-no-source, education,",2023-05-24 08:31:34.073945+00
158,4,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,"better-life-empathy,",2023-05-24 08:31:34.073945+00
159,10,The marks humans leave are too often scars.,"humans, pain, scars,",2023-05-24 08:31:34.073945+00
160,1,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.","humor,",2023-05-24 08:31:34.073945+00
161,3,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.","humor, love, romantic, women,",2023-05-24 08:31:34.073945+00
162,9,Some day you will be old enough to start reading fairy tales again.,"age, fairytales, growing-up,",2023-05-24 08:31:34.073945+00
163,269,"We are what we pretend to be, so we must be careful about what we pretend to be.","action, attitude, choice, imagination, inspiration, life, pretend,",2023-05-24 08:31:34.073945+00
237,283,Creativity is knowing how to hide your sources,"creativity, humor, misattributed-to-einstein, paraphrased,",2023-05-24 08:31:34.073945+00
238,61,"If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.","reading, writing,",2023-05-24 08:31:34.073945+00
164,270,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.","akeelah, fear, inspirational,",2023-05-24 08:31:34.073945+00
165,124,To die will be an awfully big adventure.,"adventure, love,",2023-05-24 08:31:34.073945+00
166,217,Anyone who has never made a mistake has never tried anything new.,"attributed-no-source, mistakes,",2023-05-24 08:31:34.073945+00
167,16,"And in that moment, I swear we were infinite.","infinity,",2023-05-24 08:31:34.073945+00
168,10,What a slut time is. She screws everybody.,,2023-05-24 08:31:34.073945+00
169,61,Books are a uniquely portable magic.,"books, magic, reading,",2023-05-24 08:31:34.073945+00
170,19,"It’s no use going back to yesterday, because I was a different person then.","alice, humor, inspirational, philosophy-of-life, psychological, yesterday,",2023-05-24 08:31:34.073945+00
171,271,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.","death, life,",2023-05-24 08:31:34.073945+00
172,13,The truth is rarely pure and never simple.,"truth,",2023-05-24 08:31:34.073945+00
173,45,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.","books, children, difficult, grown-ups, write, writers, writing,",2023-05-24 08:31:34.073945+00
174,41,But better to get hurt by the truth than comforted with a lie.,"life,",2023-05-24 08:31:34.073945+00
175,89,"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.","love, marriage,",2023-05-24 08:31:34.073945+00
176,10,Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.,"books, reading,",2023-05-24 08:31:34.073945+00
177,23,"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.","inspirational-quotes, strength-and-courage,",2023-05-24 08:31:34.073945+00
178,43,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.","books, mind,",2023-05-24 08:31:34.073945+00
179,88,"[Dean] My dear fellow, who will let you?[Roark] That’s not the point. The point is, who will stop me?",,2023-05-24 08:31:34.073945+00
180,48,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"death, life,",2023-05-24 08:31:34.073945+00
181,10,"There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.","infinity,",2023-05-24 08:31:34.073945+00
182,9,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.","christianity, faith, religion, sun,",2023-05-24 08:31:34.073945+00
183,2,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.","truth,",2023-05-24 08:31:34.073945+00
184,191,Memories warm you up from the inside. But they also tear you apart.,"memories,",2023-05-24 08:31:34.073945+00
185,48,A lie can travel half way around the world while the truth is putting on its shoes.,"misattributed-mark-twain, truth,",2023-05-24 08:31:34.073945+00
186,2,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.","integrity,",2023-05-24 08:31:34.073945+00
187,48,Never tell the truth to people who are not worthy of it.,"truth,",2023-05-24 08:31:34.073945+00
188,240,"I love you as certain dark things are to be loved, in secret, between the shadow and the soul.","love, poetry,",2023-05-24 08:31:34.073945+00
189,272,Knowing yourself is the beginning of all wisdom.,"introspection, self-discovery, wisdom,",2023-05-24 08:31:34.073945+00
190,273,Tis better to have loved and lostThan never to have loved at all.,"love, paraphrase-of-congreve,",2023-05-24 08:31:34.073945+00
191,89,"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.","life, love,",2023-05-24 08:31:34.073945+00
192,29,Only the very weak-minded refuse to be influenced by literature and poetry.,"books, literature, philosphy, poetry, reading,",2023-05-24 08:31:34.073945+00
193,115,"It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.","happiness, pain, peace, scar, sweetness,",2023-05-24 08:31:34.073945+00
194,274,Be nice to nerds. You may end up working for them. We all could.,"humor, misattributed-to-bill-gates, nerd, nerds, work,",2023-05-24 08:31:34.073945+00
195,36,It's the possibility of having a dream come true that makes life interesting.,"inspirational,",2023-05-24 08:31:34.073945+00
196,27,"Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.","greatness,",2023-05-24 08:31:34.073945+00
